call_id;model_type;optimize_time;feasible;target_num;depot_num
1;normal;45;1;6;6
2;normal;45;1;6;6
3;normal;7;1;6;6
4;normal;3;1;4;4
5;normal;2;1;4;4
6;normal;2;1;4;4
7;normal;94;1;6;16
8;normal;55;1;6;16
9;normal;38;1;6;16
10;normal;32;1;4;16
11;normal;78;1;4;16
12;normal;13;1;4;16
13;Warm_Start;58;1;6;17
14;Warm_Start;19;1;6;17
15;Warm_Start;40;1;6;17
16;Warm_Start;37;1;4;17
17;Warm_Start;52;1;4;17
18;Warm_Start;14;1;4;17
19;Warm_Start;27;1;6;17
20;Warm_Start;20;1;6;17
21;Warm_Start;52;1;6;17
22;Warm_Start;40;1;4;17
23;Warm_Start;50;1;4;17
24;Warm_Start;13;1;4;17
25;Warm_Start;22;1;6;17
26;Warm_Start;19;1;6;17
27;Warm_Start;42;1;6;17
28;Warm_Start;66;1;4;17
29;Warm_Start;30;1;4;17
30;Warm_Start;14;1;4;17
31;Warm_Start;54;1;6;16
32;Warm_Start;44;1;6;16
33;Warm_Start;36;1;6;16
34;Warm_Start;9;1;4;16
35;Warm_Start;65;1;4;16
36;Warm_Start;14;1;4;16
37;Warm_Start;17;1;6;14
38;Warm_Start;13;1;6;14
39;Warm_Start;29;1;6;14
40;Warm_Start;7;1;4;14
41;Warm_Start;44;1;4;14
42;Warm_Start;21;1;4;14
43;Warm_Start;54;1;6;13
44;Warm_Start;15;1;6;13
45;Warm_Start;31;1;6;13
46;Warm_Start;5;1;4;13
47;Warm_Start;61;1;4;13
48;Warm_Start;7;1;4;13
49;Warm_Start;17;1;6;12
50;Warm_Start;8;1;6;12
51;Warm_Start;6;1;6;12
52;Warm_Start;4;1;4;12
53;Warm_Start;11;1;4;12
54;Warm_Start;7;1;4;12
55;Warm_Start;45;1;6;11
56;Warm_Start;12;1;6;11
57;Warm_Start;6;1;6;11
58;Warm_Start;4;1;4;11
59;Warm_Start;8;1;4;11
60;Warm_Start;6;1;4;11
61;Warm_Start;16;1;6;11
62;Warm_Start;11;1;6;11
63;Warm_Start;5;1;6;11
64;Warm_Start;3;1;4;11
65;Warm_Start;7;1;4;11
66;Warm_Start;4;1;4;11
67;Warm_Start;46;1;6;10
68;Warm_Start;9;1;6;10
69;Warm_Start;5;1;4;10
70;Warm_Start;3;1;4;10
71;Warm_Start;7;1;6;10
72;Warm_Start;3;1;4;10
73;Warm_Start;11;1;6;9
74;Warm_Start;6;1;6;9
75;Warm_Start;5;1;4;9
76;Warm_Start;3;1;4;9
77;Warm_Start;6;1;6;9
78;Warm_Start;3;1;4;9
79;Warm_Start;10;1;6;8
80;Warm_Start;5;1;6;8
81;Warm_Start;6;1;6;8
82;Warm_Start;2;1;4;8
83;Warm_Start;5;1;4;8
84;Warm_Start;2;1;4;8
85;Warm_Start;35;1;6;7
86;Warm_Start;4;1;6;7
87;Warm_Start;5;1;6;7
88;Warm_Start;2;1;4;7
89;Warm_Start;3;1;4;7
90;Warm_Start;2;1;4;7
91;Warm_Start;8;1;6;6
92;Warm_Start;6;1;6;6
93;Warm_Start;3;1;6;6
94;Warm_Start;2;1;4;6
95;Warm_Start;2;1;4;6
96;Warm_Start;2;1;4;6
97;Warm_Start;5;1;6;5
98;Warm_Start;3;1;6;5
99;Warm_Start;2;1;6;5
100;Warm_Start;1;1;4;5
101;Warm_Start;1;1;4;5
102;Warm_Start;1;1;4;5
103;Warm_Start;9;1;8;7
104;Warm_Start;6;1;6;7
105;Warm_Start;6;1;6;7
106;Warm_Start;1;1;4;7
107;Warm_Start;3;1;2;7
108;Warm_Start;4;1;4;7
109;Warm_Start;15;1;6;7
110;Warm_Start;4;1;6;7
111;Warm_Start;5;1;6;7
112;Warm_Start;1;1;4;7
113;Warm_Start;2;1;4;7
114;Warm_Start;3;1;4;7
115;Warm_Start;33;1;6;7
116;Warm_Start;4;1;6;7
117;Warm_Start;4;1;6;7
