call_id;model_type;optimize_time;feasible;target_num;depot_num
1;normal;35;1;6;6
2;normal;38;1;6;6
3;normal;8;1;6;6
4;normal;4;1;4;4
5;normal;1;1;4;4
6;normal;2;1;4;4
7;normal;98;1;6;16
8;normal;69;1;6;16
9;normal;37;1;6;16
10;normal;42;1;4;16
11;normal;64;1;4;16
12;normal;13;1;4;16
call_id;model_type;optimize_time;feasible;target_num;depot_num
1;normal;37;1;6;6
2;normal;38;1;6;6
3;normal;6;1;6;6
4;normal;3;1;4;4
5;normal;1;1;4;4
6;normal;2;1;4;4
7;normal;95;1;6;16
8;normal;49;1;6;16
9;normal;39;1;6;16
10;normal;40;1;4;16
11;normal;62;1;4;16
12;normal;11;1;4;16
